ubicacion;valor;area;estrato;piso;alcoba;bano;balcon;parqueadero;piscina
envigado;53000000;170;1;6;3;2;si;si;si
envigado;40000000;60;1;3;3;1;no;no;si
centro;75000000;65;2;2;3;1;no;no;no
calasanz;45000000;27;2;1;1;1;no;no;no
san javier;75000000;40;2;8;2;2;si;si;no
bello;70000000;68;2;3;3;1;no;no;no
bello;55000000;50;2;1;2;1;no;no;no
envigado;212000000;79;2;3;3;2;si;si;no
envigado;195000000;96;2;6;2;2;si;no;si
envigado;105000000;78;2;3;3;2;si;no;si
centro;210000000;180;3;2;4;2;no;no;no
centro;150000000;65;3;2;3;1;si;no;no
centro;110000000;84;3;3;3;2;si;no;no
centro;110000000;53;3;2;2;1;si;no;no
centro;100000000;45;3;9;2;1;si;no;no
centro;96000000;50;3;7;2;2;si;si;no
centro;73000000;31;3;9;1;1;si;no;no
centro;60000000;45;3;4;3;1;si;si;no
calasanz;150000000;95;3;1;3;2;no;si;no
robledo;120000000;64;3;8;3;2;si;no;no
laureles;105000000;41;3;3;2;2;si;no;no
robledo;90000000;50;3;11;3;1;si;si;no
robledo;80000000;39;3;4;3;1;si;si;no
robledo;78000000;47;3;23;2;1;si;no;no
robledo;75000000;47;3;19;2;1;si;no;no
robledo;67000000;41;3;9;3;1;si;si;no
robledo;65000000;40;3;2;3;1;si;si;no
belen;178000000;69;3;9;3;2;si;si;no
Guayabal;170000000;106;3;2;4;2;si;no;no
belen;170000000;66;3;5;3;2;si;si;si
belen;110000000;75;3;3;3;1;si;si;no
bello;165000000;140;3;3;3;3;no;no;no
bello;154000000;65;3;4;3;2;si;no;si
bello;143000000;67;3;4;3;2;si;si;no
bello;140000000;71;3;10;3;2;si;no;no
bello;140000000;70;3;1;3;2;no;no;no
bello;140000000;64;3;7;3;2;si;no;si
bello;130000000;56;3;2;3;1;si;si;si
bello;110000000;100;3;2;4;2;no;si;no
bello;110000000;70;3;2;3;1;si;no;no
bello;105000000;95;3;1;3;2;no;no;no
bello;98000000;57;3;9;3;2;si;no;no
bello;95000000;67;3;3;3;1;no;si;no
bello;90000000;55;3;11;3;2;si;no;no
bello;86000000;62;3;2;3;1;no;no;no
bello;84000000;63;3;3;3;2;no;si;no
caldas;150000000;67;3;5;3;2;si;si;si
caldas;125000000;56;3;2;3;2;no;no;si
caldas;111000000;52;3;9;2;2;no;no;si
caldas;57000000;40;3;7;2;1;si;si;si
envigado;269000000;157;3;2;4;2;si;si;no
envigado;250000000;145;3;2;4;2;si;si;si
envigado;230000000;86;3;4;3;2;si;no;si
envigado;200000000;150;3;13;4;2;si;si;si
envigado;195000000;92;3;2;3;2;si;no;no
envigado;195000000;90;3;3;3;2;si;si;no
envigado;190000000;105;3;3;3;2;si;si;no
envigado;185000000;104;3;2;4;3;si;si;no
envigado;170000000;64;3;2;2;2;si;si;no
envigado;168000000;64;3;1;3;2;no;no;si
envigado;161000000;64;3;5;3;2;si;no;si
envigado;160000000;107;3;2;3;2;si;si;no
envigado;155000000;64;3;7;2;2;si;no;si
envigado;155000000;62;3;1;3;2;no;no;si
envigado;150000000;150;3;5;4;2;si;no;no
envigado;150000000;70;3;3;3;2;si;si;si
envigado;145000000;65;3;3;3;2;no;no;no
envigado;140000000;63;3;4;3;2;si;no;si
envigado;120000000;60;3;4;3;2;si;no;si
envigado;110000000;58;3;6;3;2;si;no;si
